temperature,method,budget,speedup,accepted_length,latency_ms_per_round,cost_ms_per_token
0.0,DDTree,16,4.81,7.31,5.03,0.69
0.0,DDTree,32,5.25,7.99,5.04,0.63
0.0,DDTree,64,5.52,8.41,5.07,0.60
0.0,DDTree,128,5.57,8.79,5.27,0.60
0.0,DDTree,256,4.73,9.06,5.57,0.61
0.0,DominoTree,16,5.02,8.34,6.36,0.76
0.0,DominoTree,32,5.28,9.39,8.12,0.86
0.0,DominoTree,64,5.11,10.24,11.73,1.15
0.0,DominoTree,128,4.33,10.81,18.81,1.74
0.0,DominoTree,256,2.99,11.34,32.47,2.86
0.0,ReTree,16,5.06,7.86,5.62,0.72
0.0,ReTree,32,5.42,8.48,5.81,0.68
0.0,ReTree,64,5.64,8.86,5.90,0.67
0.0,ReTree,128,5.62,9.16,6.18,0.67
0.0,ReTree,256,4.80,9.43,6.73,0.71
1.0,DDTree,16,4.33,6.60,5.26,0.80
1.0,DDTree,32,4.71,7.22,5.19,0.72
1.0,DDTree,64,4.91,7.55,5.27,0.70
1.0,DDTree,128,5.00,7.91,5.37,0.68
1.0,DDTree,256,4.31,8.24,5.83,0.71
1.0,DominoTree,16,4.29,7.14,6.40,0.90
1.0,DominoTree,32,4.54,8.08,8.20,1.01
1.0,DominoTree,64,4.38,8.82,11.72,1.33
1.0,DominoTree,128,3.73,9.41,18.83,2.00
1.0,DominoTree,256,2.58,9.92,32.79,3.31
1.0,ReTree,16,4.72,7.38,5.89,0.80
1.0,ReTree,32,5.03,7.87,5.88,0.75
1.0,ReTree,64,5.14,8.10,6.01,0.74
1.0,ReTree,128,5.13,8.42,6.38,0.76
1.0,ReTree,256,4.37,8.66,7.19,0.83
